entry_time,exit_time,side,entry,stop,target,R
2018-04-24 11:00:00+00:00,2018-04-24 11:00:00+00:00,SHORT,1327.135,1327.9329285714286,1325.5391428571427,2.0
2018-11-02 09:15:00+00:00,2018-11-02 09:15:00+00:00,LONG,1231.76,1231.4617857142857,1232.3564285714285,2.0
2018-11-08 16:30:00+00:00,2018-11-08 16:30:00+00:00,SHORT,1224.98,1225.56,1223.8200000000002,2.0
2018-12-24 10:45:00+00:00,2018-12-24 10:45:00+00:00,LONG,1262.9850000000001,1262.4542857142858,1264.0464285714288,-1.0
2019-08-29 10:45:00+00:00,2019-08-29 10:45:00+00:00,LONG,1541.995,1541.4092857142857,1543.1664285714282,-1.0
2019-09-19 11:00:00+00:00,2019-09-19 11:00:00+00:00,SHORT,1496.1100000000001,1496.9244285714285,1494.4811428571434,-1.0
2019-10-03 09:45:00+00:00,2019-10-03 09:45:00+00:00,LONG,1498.45,1497.8102857142858,1499.7294285714286,-1.0
2019-11-08 08:00:00+00:00,2019-11-08 08:00:00+00:00,SHORT,1469.095,1469.5829285714285,1468.119142857143,-1.0
2019-11-19 09:45:00+00:00,2019-11-19 09:45:00+00:00,LONG,1469.74,1469.4294285714286,1470.3611428571428,-1.0
2019-11-21 15:30:00+00:00,2019-11-21 15:30:00+00:00,SHORT,1470.08,1470.923857142857,1468.3922857142857,-1.0
2019-11-25 16:45:00+00:00,2019-11-25 16:45:00+00:00,SHORT,1457.6,1458.1753571428571,1456.4492857142855,-1.0
2019-12-12 16:30:00+00:00,2019-12-12 16:30:00+00:00,LONG,1475.18,1474.6109285714285,1476.3181428571431,-1.0
2020-02-10 09:30:00+00:00,2020-02-10 09:30:00+00:00,LONG,1570.475,1569.7359285714285,1571.9531428571427,2.0
2020-08-04 07:00:00+00:00,2020-08-04 07:00:00+00:00,LONG,1973.48,1972.446642857143,1975.5467142857142,-1.0
2021-04-12 12:15:00+00:00,2021-04-12 12:15:00+00:00,SHORT,1741.29,1742.1147142857144,1739.640571428571,2.0
2021-05-26 16:00:00+00:00,2021-05-26 16:00:00+00:00,LONG,1905.545,1904.8404285714284,1906.9541428571433,-1.0
2021-07-01 11:30:00+00:00,2021-07-01 12:15:00+00:00,LONG,1774.045,1772.969,1776.1970000000001,-1.0
2021-07-19 15:45:00+00:00,2021-07-19 15:45:00+00:00,SHORT,1804.8899999999999,1806.5360714285714,1801.5978571428568,-1.0
2021-08-03 15:45:00+00:00,2021-08-03 15:45:00+00:00,SHORT,1810.4850000000001,1811.0970714285716,1809.2608571428573,-1.0
2021-08-23 11:00:00+00:00,2021-08-23 11:45:00+00:00,LONG,1785.2800000000002,1784.2745,1787.2910000000006,2.0
2021-09-06 07:00:00+00:00,2021-09-06 09:30:00+00:00,LONG,1826.22,1825.3369285714286,1827.9861428571428,2.0
2021-10-11 09:00:00+00:00,2021-10-11 09:00:00+00:00,SHORT,1757.055,1757.8125714285716,1755.539857142857,2.0
2022-02-11 16:45:00+00:00,2022-02-11 17:15:00+00:00,SHORT,1831.8400000000001,1833.4369285714286,1828.6461428571433,-1.0
2022-03-24 09:30:00+00:00,2022-03-24 09:30:00+00:00,LONG,1939.0149999999999,1937.5369285714287,1941.9711428571422,2.0
2022-06-27 14:15:00+00:00,2022-06-27 14:45:00+00:00,LONG,1835.795,1834.5160714285714,1838.3528571428574,-1.0
2022-07-06 15:30:00+00:00,2022-07-06 15:30:00+00:00,SHORT,1762.075,1763.6362142857145,1758.9525714285712,-1.0
2022-09-01 16:00:00+00:00,2022-09-01 16:15:00+00:00,SHORT,1701.645,1703.797,1697.341,2.0
2023-01-12 16:00:00+00:00,2023-01-12 16:00:00+00:00,LONG,1888.925,1886.4767142857143,1893.8215714285714,2.0
2023-02-09 16:30:00+00:00,2023-02-09 16:30:00+00:00,LONG,1881.35,1879.498857142857,1885.0522857142855,2.0
2023-04-04 10:30:00+00:00,2023-04-04 10:30:00+00:00,LONG,1979.0149999999999,1977.9027142857142,1981.2395714285713,2.0
2023-05-02 12:30:00+00:00,2023-05-02 12:30:00+00:00,SHORT,1984.1950000000002,1985.1392857142857,1982.306428571429,2.0
2023-08-28 16:15:00+00:00,2023-08-28 16:15:00+00:00,LONG,1914.9250000000002,1914.087642857143,1916.5997142857145,2.0
2024-03-04 15:15:00+00:00,2024-03-04 15:15:00+00:00,LONG,2082.71,2082.3580714285713,2083.4138571428575,-1.0
2024-03-08 16:00:00+00:00,2024-03-08 16:00:00+00:00,LONG,2165.3500000000004,2162.7545,2170.541000000001,2.0
2024-06-28 16:15:00+00:00,2024-06-28 16:15:00+00:00,LONG,2333.6099999999997,2331.881714285714,2337.0665714285706,-1.0
2024-07-05 15:45:00+00:00,2024-07-05 15:45:00+00:00,LONG,2367.1949999999997,2365.5158571428574,2370.5532857142844,2.0
2024-09-06 16:00:00+00:00,2024-09-06 16:00:00+00:00,LONG,2514.535,2512.3352142857143,2518.934571428571,-1.0
2024-10-03 16:15:00+00:00,2024-10-03 17:00:00+00:00,SHORT,2649.145,2651.7794285714285,2643.876142857143,-1.0
2025-07-02 16:30:00+00:00,2025-07-02 16:45:00+00:00,LONG,3340.56,3337.664357142857,3346.3512857142855,-1.0
2025-12-04 09:15:00+00:00,2025-12-04 11:00:00+00:00,SHORT,4193.475,4197.904928571428,4184.615142857145,2.0
