id,created_at,text,url,username,like_count,reply_count,retweet_count,quote_count,view_count,is_reply,is_quote,media_files
2039930600019087582,Fri Apr 03 04:58:49 +0000 2026,@3kurusluktrader Günaydin brom. Erkenciyiz 🤝,https://x.com/Efloud/status/2039930600019087582,Efloud,48,1,0,0,4749,True,False,
2039944640283975841,Fri Apr 03 05:54:37 +0000 2026,@Jhonnycoinz @3kurusluktrader 🫂,https://x.com/Efloud/status/2039944640283975841,Efloud,11,0,0,0,811,True,False,
2039970586890268870,Fri Apr 03 07:37:43 +0000 2026,@the_erolk @3kurusluktrader Var abi birkaç dolandirici yavsak. Ancak onlarin sevmemesi gururdur benim icin,https://x.com/Efloud/status/2039970586890268870,Efloud,28,1,0,0,822,True,False,
2039993075867566186,Fri Apr 03 09:07:05 +0000 2026,"Have a blessed Friday.
Hayırlı cumalar 🤝🏼 https://t.co/1YFbWkqaqv",https://x.com/Efloud/status/2039993075867566186,Efloud,703,26,10,2,99688,False,False,media/2039993075867566186_1.jpg
2040000080397095020,Fri Apr 03 09:34:55 +0000 2026,"@0xKatsuyusama Sen niye dertlendin, low iq + estrogen?",https://x.com/Efloud/status/2040000080397095020,Efloud,24,2,0,0,1426,True,False,
2040006882639692040,Fri Apr 03 10:01:56 +0000 2026,@mustafa00698654 @0xKatsuyusama Sana ne la velet?,https://x.com/Efloud/status/2040006882639692040,Efloud,20,4,0,0,875,True,False,
2040017950279676240,Fri Apr 03 10:45:55 +0000 2026,"Brom senlik mevzu yok. Hasta vs gibi garip gurup bi mesaj yazinca ben de o minvalde cevap attim. Diger mesaj yazan tipitip tescilli low iq, ona ithafen belirtmistim ki uzerine alinip paragraf yazip engel atmis. Bosver bi gereksiz icin senle de gerilmeyelim. Onun yanik gotu farkli sebepten. Kolay gelsin isinde gucunde 🤝",https://x.com/Efloud/status/2040017950279676240,Efloud,12,1,0,0,580,True,False,
2040018890206449761,Fri Apr 03 10:49:39 +0000 2026,"Arkadaslar bu ss’deki benim demiyorum, bu mesaji gören tüm alpha male biraderlerimdir diyorum.

Bir nevi motivasyon, gaz şekli. Gelip de post’um altında ağlamayın.

Hahaha bu post’u bile low iq idiotlara açıklamak zorunda kaldık, hey allahim 😁

Herkese kolayliklar, şimdiden harika hafta sonu dilerim 🤝🏼",https://x.com/Efloud/status/2040018890206449761,Efloud,175,4,2,0,11592,True,False,
2040019071664628031,Fri Apr 03 10:50:23 +0000 2026,@berkekrcm Bu post’u goren tum male aplha biraderlerim oradaki kirmizi yuvarlak kisidir 😁🤝,https://x.com/Efloud/status/2040019071664628031,Efloud,24,1,0,0,2063,True,False,
2040019480496009383,Fri Apr 03 10:52:00 +0000 2026,"@bit_osfer Bu serideki en faydali akis semalarindan bir tanesi. Psikoloji, range trade, confirmation.. ne ararsan var. Normalde sunu cektim, bunu yaptim cok iyidir demek istemem ama bu video onem arz ediyor gercekten. Herkese bos vaktinde izlemesini oneriyorum 🤝",https://x.com/Efloud/status/2040019480496009383,Efloud,139,4,0,0,2635,True,False,
2040020247315386401,Fri Apr 03 10:55:03 +0000 2026,@mustafa00698654 @0xKatsuyusama Ben tesekkur ederim anlayisin icin. Guzel memlekettesin tadini cikart. Zaten chill bi yapin var belli 😁🫂,https://x.com/Efloud/status/2040020247315386401,Efloud,12,2,1,0,656,True,False,
2040022772819075393,Fri Apr 03 11:05:05 +0000 2026,@berkekrcm 😅🫂,https://x.com/Efloud/status/2040022772819075393,Efloud,11,0,0,0,615,True,False,
